task,ID00000,ID00001,ID00002,ID00003,ID00004,ID00005,ID00006,ID00007,ID00008,ID00009,ID00010,ID00011,ID00012,ID00013,ID00014,ID00015,ID00016,ID00017,ID00018,ID00019,ID00020,ID00021,ID00022,ID00023,ID00024,ID00025,ID00026,ID00027,ID00028,ID00029
ID00000,,,,,,,,992860,,,,,,,,,,,,,,,,,,,,,,
ID00001,,,,,,,,,983877,,,,,,,,,,,,,,,,,,,,,
ID00002,,,,,,,,,,982316,,,,,,,,,,,,,,,,,,,,
ID00003,,,,,,,,,,,1009501,,,,,,,,,,,,,,,,,,,
ID00004,,,,,,,,,,,,989550,,,,,,,,,,,,,,,,,,
ID00005,,,,,,,,,,,,,995701,,,,,,,,,,,,,,,,,
ID00006,,,,,,,,,,,,,,978215,,,,,,,,,,,,,,,,
ID00007,,,,,,,,,,,,,,,341444,,,,,,,,,,,,,,,
ID00008,,,,,,,,,,,,,,,165251,,,,,,,,,,,,,,,
ID00009,,,,,,,,,,,,,,,402601,,,,,,,,,,,,,,,
ID00010,,,,,,,,,,,,,,,228253,,,,,,,,,,,,,,,
ID00011,,,,,,,,,,,,,,,233774,,,,,,,,,,,,,,,
ID00012,,,,,,,,,,,,,,,275315,,,,,,,,,,,,,,,
ID00013,,,,,,,,,,,,,,,410359,,,,,,,,,,,,,,,
ID00014,,,,,,,,,,,,,,,,41274,41274,41274,41274,41274,41274,41274,,,,,,,,
ID00015,,,,,,,,,,,,,,,,,,,,,,,7733,,,,,,,
ID00016,,,,,,,,,,,,,,,,,,,,,,,,15310,,,,,,
ID00017,,,,,,,,,,,,,,,,,,,,,,,,,16310,,,,,
ID00018,,,,,,,,,,,,,,,,,,,,,,,,,,8309,,,,
ID00019,,,,,,,,,,,,,,,,,,,,,,,,,,,6501,,,
ID00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,6836,,
ID00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16024,
ID00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455353
ID00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273971
ID00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308593
ID00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412189
ID00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278778
ID00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395715
ID00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367983
ID00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
